voucher_number,document_number,document_type,voucher_date,customer_name,customer_vat,gl_taxable,gl_tax,ar_taxable,ar_vat,ar_gross,diff_taxable,diff_tax,tax_code,status
261200000003,261200000003,INV,2026-01-05,APPLE INC ,1234,2983.03,0.00,2983.03,0.00,2983.03,0.00,0.00,O,Exact match
261200000004,261200000004,INV,2026-01-11,INMOBI PTE. LTD.,200811408G,6250.75,0.00,6250.75,0.00,6250.75,0.00,0.00,O,Exact match
261200000004,CM-261200000004,CRN,2026-01-29,Facebook UK LTD	,,-22868.00,0.00,-22868.00,0.00,-22868.00,0.00,0.00,O,Exact match
261200000005,261200000005,INV,2026-01-13,ADLOGIC TECHNOLOGY PTE,,33548.10,0.00,33548.10,0.00,33548.10,0.00,0.00,O,Exact match
261200000005,CM-261200000005,CRN,2026-01-29,INMOBI PTE. LTD.,200811408G,-6387.00,0.00,-6387.00,0.00,-6387.00,0.00,0.00,O,Exact match
261200000006,261200000006,INV,2026-01-15,Air Smart Advertising Solutions FZ-LLC,,2604.35,0.00,2604.35,0.00,2604.35,0.00,0.00,O,Exact match
261200000006,CM-261200000006,CRN,2026-01-29,APPLE INC ,1234,-2990.85,0.00,-2990.85,0.00,-2990.85,0.00,0.00,O,Exact match
261200000007,261200000007,INV,2026-01-26,Facebook UK LTD	,,23012.15,0.00,23012.15,0.00,23012.15,0.00,0.00,O,Exact match
261200000007,CM-261200000007,CRN,2026-02-28,GOOGLE IRELAND LIMITED,,-48243.64,0.00,-48243.64,0.00,-48243.64,0.00,0.00,O,Exact match
261200000008,261200000008,INV,2026-01-31,GOOGLE IRELAND LIMITED,,16612.00,0.00,16612.00,0.00,16612.00,0.00,0.00,O,Exact match
261200000008,CM-261200000008,CRN,2026-02-28,GOOGLE IRELAND LIMITED,,-16142.85,0.00,-16142.85,0.00,-16142.85,0.00,0.00,O,Exact match
261200000009,261200000009,INV,2026-01-31,Unity Technologies SF,,16367.00,0.00,16367.00,0.00,16367.00,0.00,0.00,O,Exact match
261200000009,CM-261200000009,CRN,2026-02-28,ADLOGIC TECHNOLOGY PTE,,-51354.00,0.00,-51354.00,0.00,-51354.00,0.00,0.00,O,Exact match
261200000010,261200000010,INV,2026-01-31,IronSource Mobile Ltd,,3904.00,0.00,3904.00,0.00,3904.00,0.00,0.00,O,Exact match
261200000010,CM-261200000010,CRN,2026-02-28,GOOGLE IRELAND LIMITED,,-16612.00,0.00,-16612.00,0.00,-16612.00,0.00,0.00,O,Exact match
261200000011,261200000011,INV,2026-01-31,ADLOGIC TECHNOLOGY PTE,,3892.00,0.00,3892.00,0.00,3892.00,0.00,0.00,O,Exact match
261200000011,CM-261200000011,CRN,2026-02-28,GOOGLE IRELAND LIMITED,,-29467.00,0.00,-29467.00,0.00,-29467.00,0.00,0.00,O,Exact match
261200000012,261200000012,INV,2026-01-31,"LMI, INC.",460784178,2863.00,0.00,2863.00,0.00,2863.00,0.00,0.00,O,Exact match
261200000012,CM-261200000012,CRN,2026-02-28,GOOGLE IRELAND LIMITED,,-19156.76,0.00,-19156.76,0.00,-19156.76,0.00,0.00,O,Exact match
261200000013,261200000013,INV,2026-01-31,BYTEDANCE PTE. LTD.,,3804.00,0.00,3804.00,0.00,3804.00,0.00,0.00,O,Exact match
261200000013,CM-261200000013,CRN,2026-02-28,ADLOGIC TECHNOLOGY PTE,,-51490.00,0.00,-51490.00,0.00,-51490.00,0.00,0.00,O,Exact match
261200000014,261200000014,INV,2026-01-31,INMOBI PTE. LTD.,200811408G,3881.00,0.00,3881.00,0.00,3881.00,0.00,0.00,O,Exact match
261200000014,CM-261200000014,CRN,2026-02-28,Facebook UK LTD	,,-15251.00,0.00,-15251.00,0.00,-15251.00,0.00,0.00,O,Exact match
261200000015,261200000015,INV,2026-01-31,Applovin,,129472.00,0.00,129472.00,0.00,129472.00,0.00,0.00,O,Exact match
261200000015,CM-261200000015,CRN,2026-02-28,INMOBI PTE. LTD.,200811408G,-5753.00,0.00,-5753.00,0.00,-5753.00,0.00,0.00,O,Exact match
261200000016,261200000016,INV,2026-01-31,Facebook UK LTD	,,15251.00,0.00,15251.00,0.00,15251.00,0.00,0.00,O,Exact match
261200000016,CM-261200000016,CRN,2026-02-28,APPLE INC ,1234,-7668.00,0.00,-7668.00,0.00,-7668.00,0.00,0.00,O,Exact match
261200000017,CM-261200000017,CRN,2026-02-28,IronSource Mobile Ltd,,-5505.00,0.00,-5505.00,0.00,-5505.00,0.00,0.00,O,Exact match
261200000018,CM-261200000018,CRN,2026-02-28,IronSource Mobile Ltd,,-6141.00,0.00,-6141.00,0.00,-6141.00,0.00,0.00,O,Exact match
261200000019,CM-261200000019,CRN,2026-02-28,Unity Technologies SF,,-18285.00,0.00,-18285.00,0.00,-18285.00,0.00,0.00,Z,Exact match
261200000020,261200000020,INV,2026-02-05,GOOGLE IRELAND LIMITED,,11.30,1.69,11.30,1.69,12.99,0.00,0.00,S,Exact match
261200000020,CM-261200000020,CRN,2026-02-28,GOOGLE IRELAND LIMITED,,-4304.76,0.00,-4304.76,0.00,-4304.76,0.00,0.00,O,Exact match
261200000021,261200000021,INV,2026-02-07,GOOGLE IRELAND LIMITED,,11.30,1.69,11.30,1.69,12.99,0.00,0.00,S,Exact match
261200000021,CM-261200000021,CRN,2026-02-28,GOOGLE IRELAND LIMITED,,-12864.97,0.00,-12864.97,0.00,-12864.97,0.00,0.00,O,Exact match
261200000022,CM-261200000022,CRN,2026-02-11,ADLOGIC TECHNOLOGY PTE,,-13694.40,0.00,-13694.40,0.00,-13694.40,0.00,0.00,O,Exact match
261200000022,261200000022,INV,2026-02-23,GOOGLE IRELAND LIMITED,,16142.85,0.00,16142.85,0.00,16142.85,0.00,0.00,O,Exact match
261200000023,261200000023,INV,2026-02-25,GOOGLE IRELAND LIMITED,,48243.64,0.00,48243.64,0.00,48243.64,0.00,0.00,O,Exact match
261200000023,CM-261200000023,CRN,2026-02-28,IronSource Mobile Ltd,,-1591.00,0.00,-1591.00,0.00,-1591.00,0.00,0.00,O,Exact match
261200000024,261200000024,INV,2026-02-11,ADLOGIC TECHNOLOGY PTE,,51354.00,0.00,51354.00,0.00,51354.00,0.00,0.00,O,Exact match
261200000024,CM-261200000024,CRN,2026-03-31,Unity Technologies SF,,-16367.00,0.00,-16367.00,0.00,-16367.00,0.00,0.00,O,Exact match
261200000025,261200000025,INV,2026-02-24,Facebook UK LTD	,,15993.83,0.00,15993.83,0.00,15993.83,0.00,0.00,O,Exact match
261200000025,CM-261200000025,CRN,2026-03-31,Unity Technologies SF,,-25532.00,0.00,-25532.00,0.00,-25532.00,0.00,0.00,O,Exact match
261200000026,261200000026,INV,2026-02-19,Air Smart Advertising Solutions FZ-LLC,,1146.37,0.00,1146.37,0.00,1146.37,0.00,0.00,O,Exact match
261200000026,CM-261200000026,CRN,2026-03-31,Facebook UK LTD	,,-10301.25,0.00,-10301.25,0.00,-10301.25,0.00,0.00,O,Exact match
261200000027,261200000027,INV,2026-02-09,INMOBI PTE. LTD.,200811408G,5618.27,0.00,5618.27,0.00,5618.27,0.00,0.00,O,Exact match
261200000027,CM-261200000027,CRN,2026-03-31,ADLOGIC TECHNOLOGY PTE,,-3892.00,0.00,-3892.00,0.00,-3892.00,0.00,0.00,O,Exact match
261200000028,261200000028,INV,2026-02-02,APPLE INC ,1234,7788.29,0.00,7788.29,0.00,7788.29,0.00,0.00,O,Exact match
261200000028,CM-261200000028,CRN,2026-03-31,ADLOGIC TECHNOLOGY PTE,,-17778.75,0.00,-17778.75,0.00,-17778.75,0.00,0.00,O,Exact match
261200000029,261200000029,INV,2026-02-01,IronSource Mobile Ltd,,5386.87,0.00,5386.87,0.00,5386.87,0.00,0.00,O,Exact match
261200000029,CM-261200000029,CRN,2026-03-31,ADLOGIC TECHNOLOGY PTE,,-10058.00,0.00,-10058.00,0.00,-10058.00,0.00,0.00,O,Exact match
261200000030,261200000030,INV,2026-02-01,Unity Technologies SF,,18005.15,0.00,18005.15,0.00,18005.15,0.00,0.00,O,Exact match
261200000030,CM-261200000030,CRN,2026-03-31,INMOBI PTE. LTD.,200811408G,-9433.00,0.00,-9433.00,0.00,-9433.00,0.00,0.00,O,Exact match
261200000031,261200000031,INV,2026-02-10,GOOGLE IRELAND LIMITED,,11.30,1.69,11.30,1.69,12.99,0.00,0.00,S,Exact match
261200000031,CM-261200000031,CRN,2026-03-31,Applovin,,-186984.00,0.00,-186984.00,0.00,-186984.00,0.00,0.00,O,Exact match
261200000032,261200000032,INV,2026-02-15,GOOGLE IRELAND LIMITED,,19.12,2.87,19.12,2.87,21.99,0.00,0.00,S,Exact match
261200000032,CM-261200000032,CRN,2026-03-31,Applovin,,-129472.00,0.00,-129472.00,0.00,-129472.00,0.00,0.00,O,Exact match
261200000033,261200000033,INV,2026-02-25,IronSource Mobile Ltd,,1591.00,0.00,1591.00,0.00,1591.00,0.00,0.00,O,Exact match
261200000033,CM-261200000033,CRN,2026-03-31,Applovin,,-60386.25,0.00,-60386.25,0.00,-60386.25,0.00,0.00,O,Exact match
261200000034,261200000034,INV,2026-02-23,GOOGLE IRELAND LIMITED,,4304.76,0.00,4304.76,0.00,4304.76,0.00,0.00,O,Exact match
261200000034,CM-261200000034,CRN,2026-03-31,BYTEDANCE PTE. LTD.,,-4706.00,0.00,-4706.00,0.00,-4706.00,0.00,0.00,O,Exact match
261200000035,261200000035,INV,2026-02-25,GOOGLE IRELAND LIMITED,,12864.97,0.00,12864.97,0.00,12864.97,0.00,0.00,O,Exact match
261200000035,CM-261200000035,CRN,2026-03-31,BYTEDANCE PTE. LTD.,,-6636.00,0.00,-6636.00,0.00,-6636.00,0.00,0.00,O,Exact match
261200000036,261200000036,INV,2026-02-11,ADLOGIC TECHNOLOGY PTE,,13694.40,0.00,13694.40,0.00,13694.40,0.00,0.00,O,Exact match
261200000036,CM-261200000036,CRN,2026-03-31,BYTEDANCE PTE. LTD.,,-3804.00,0.00,-3804.00,0.00,-3804.00,0.00,0.00,O,Exact match
261200000037,261200000037,INV,2026-02-23,GOOGLE IRELAND LIMITED,,16142.85,0.00,16142.85,0.00,16142.85,0.00,0.00,O,Exact match
261200000037,CM-261200000037,CRN,2026-03-31,BYTEDANCE PTE. LTD.,,-1983.75,0.00,-1983.75,0.00,-1983.75,0.00,0.00,O,Exact match
261200000038,261200000038,INV,2026-02-25,GOOGLE IRELAND LIMITED,,48243.64,0.00,48243.64,0.00,48243.64,0.00,0.00,O,Exact match
261200000038,CM-261200000038,CRN,2026-03-31,"LMI, INC.",460784178,-1041.71,0.00,-1041.71,0.00,-1041.71,0.00,0.00,O,Exact match
261200000039,261200000039,INV,2026-02-11,ADLOGIC TECHNOLOGY PTE,,51354.00,0.00,51354.00,0.00,51354.00,0.00,0.00,O,Exact match
261200000039,CM-261200000039,CRN,2026-03-31,"LMI, INC.",460784178,-2412.00,0.00,-2412.00,0.00,-2412.00,0.00,0.00,O,Exact match
261200000040,261200000040,INV,2026-02-25,IronSource Mobile Ltd,,5966.25,0.00,5966.25,0.00,5966.25,0.00,0.00,O,Exact match
261200000040,CM-261200000040,CRN,2026-03-31,"LMI, INC.",460784178,-2445.00,0.00,-2445.00,0.00,-2445.00,0.00,0.00,O,Exact match
261200000041,261200000041,INV,2026-02-28,Facebook UK LTD	,,10301.25,0.00,10301.25,0.00,10301.25,0.00,0.00,O,Exact match
261200000041,CM-261200000041,CRN,2026-03-31,"LMI, INC.",460784178,-4418.00,0.00,-4418.00,0.00,-4418.00,0.00,0.00,O,Exact match
261200000042,261200000042,INV,2026-02-28,GOOGLE IRELAND LIMITED,,35426.25,0.00,35426.25,0.00,35426.25,0.00,0.00,O,Exact match
261200000042,CM-261200000042,CRN,2026-03-31,"LMI, INC.",460784178,-2863.00,0.00,-2863.00,0.00,-2863.00,0.00,0.00,O,Exact match
261200000043,261200000043,INV,2026-02-28,Unity Technologies SF,,8497.50,0.00,8497.50,0.00,8497.50,0.00,0.00,O,Exact match
261200000043,CM-261200000043,CRN,2026-04-20,BYTEDANCE PTE. LTD.,,-1796.25,0.00,-1796.25,0.00,-1796.25,0.00,0.00,O,Exact match
261200000044,261200000044,INV,2026-02-28,ADLOGIC TECHNOLOGY PTE,,17778.75,0.00,17778.75,0.00,17778.75,0.00,0.00,O,Exact match
261200000044,CM-261200000044,CRN,2026-04-20,Applovin,,-47707.50,0.00,-47707.50,0.00,-47707.50,0.00,0.00,O,Exact match
261200000045,261200000045,INV,2026-02-28,BYTEDANCE PTE. LTD.,,1983.75,0.00,1983.75,0.00,1983.75,0.00,0.00,O,Exact match
261200000045,CM-261200000045,CRN,2026-04-20,INMOBI PTE. LTD.,200811408G,-3881.00,0.00,-3881.00,0.00,-3881.00,0.00,0.00,O,Exact match
261200000046,261200000046,INV,2026-02-28,INMOBI PTE. LTD.,200811408G,1938.75,0.00,1938.75,0.00,1938.75,0.00,0.00,O,Exact match
261200000046,CM-261200000046,CRN,2026-04-26,Facebook UK LTD	,,-8467.50,0.00,-8467.50,0.00,-8467.50,0.00,0.00,O,Exact match
261200000047,261200000047,INV,2026-02-28,Applovin,,60386.25,0.00,60386.25,0.00,60386.25,0.00,0.00,O,Exact match
261200000048,261200000048,INV,2026-03-30,Unity Technologies SF,,15096.56,0.00,15096.56,0.00,15096.56,0.00,0.00,O,Exact match
261200000049,261200000049,INV,2026-03-23,Facebook UK LTD	,,10536.00,0.00,10536.00,0.00,10536.00,0.00,0.00,O,Exact match
261200000050,261200000050,INV,2026-03-23,GOOGLE IRELAND LIMITED,,9786.26,0.00,9786.26,0.00,9786.26,0.00,0.00,O,Exact match
261200000051,261200000051,INV,2026-03-23,ADLOGIC TECHNOLOGY PTE,,35567.81,0.00,35567.81,0.00,35567.81,0.00,0.00,O,Exact match
261200000052,261200000052,INV,2026-03-15,INMOBI PTE. LTD.,200811408G,9320.59,0.00,9320.59,0.00,9320.59,0.00,0.00,O,Exact match
261200000053,261200000053,INV,2026-03-15,Applovin,,376617.64,0.00,376617.64,0.00,376617.64,0.00,0.00,O,Exact match
261200000054,261200000054,INV,2026-03-12,BYTEDANCE PTE. LTD.,,1985.21,0.00,1985.21,0.00,1985.21,0.00,0.00,O,Exact match
261200000055,261200000055,INV,2026-03-11,BYTEDANCE PTE. LTD.,,15146.51,0.00,15146.51,0.00,15146.51,0.00,0.00,O,Exact match
261200000056,261200000056,INV,2026-03-04,"LMI, INC.",460784178,12906.30,0.00,12906.30,0.00,12906.30,0.00,0.00,O,Exact match
261200000057,261200000057,INV,2026-03-09,APPLE INC ,1234,9591.44,0.00,9591.44,0.00,9591.44,0.00,0.00,O,Exact match
261200000058,261200000058,INV,2026-03-03,Unity Technologies SF,,25169.03,0.00,25169.03,0.00,25169.03,0.00,0.00,O,Exact match
261200000059,261200000059,INV,2026-03-31,GOOGLE IRELAND LIMITED,,11.30,1.69,11.30,1.69,12.99,0.00,0.00,S,Exact match
261200000060,261200000060,INV,2026-03-31,Facebook UK LTD	,,8467.50,0.00,8467.50,0.00,8467.50,0.00,0.00,O,Exact match
261200000061,261200000061,INV,2026-03-31,GOOGLE IRELAND LIMITED,,23133.75,0.00,23133.75,0.00,23133.75,0.00,0.00,O,Exact match
261200000062,261200000062,INV,2026-03-31,Unity Technologies SF,,8557.50,0.00,8557.50,0.00,8557.50,0.00,0.00,O,Exact match
261200000063,261200000063,INV,2026-03-31,ADLOGIC TECHNOLOGY PTE,,16953.75,0.00,16953.75,0.00,16953.75,0.00,0.00,O,Exact match
261200000064,261200000064,INV,2026-03-31,"LMI, INC.",460784178,1166.25,0.00,1166.25,0.00,1166.25,0.00,0.00,O,Exact match
261200000065,261200000065,INV,2026-03-31,BYTEDANCE PTE. LTD.,,1796.25,0.00,1796.25,0.00,1796.25,0.00,0.00,O,Exact match
261200000066,261200000066,INV,2026-03-31,INMOBI PTE. LTD.,200811408G,1308.75,0.00,1308.75,0.00,1308.75,0.00,0.00,O,Exact match
261200000067,261200000067,INV,2026-03-31,Applovin,,47707.50,0.00,47707.50,0.00,47707.50,0.00,0.00,O,Exact match
261200000068,261200000068,INV,2026-03-31,APPLE INC ,1234,577.50,0.00,577.50,0.00,577.50,0.00,0.00,O,Exact match
261200000069,261200000069,INV,2026-04-16,BYTEDANCE PTE. LTD.,,1795.95,0.00,1795.95,0.00,1795.95,0.00,0.00,O,Exact match
261200000070,261200000070,INV,2026-04-16,Applovin,,47650.61,0.00,47650.61,0.00,47650.61,0.00,0.00,O,Exact match
261200000071,261200000071,INV,2026-04-14,ADLOGIC TECHNOLOGY PTE,,17644.76,0.00,17644.76,0.00,17644.76,0.00,0.00,O,Exact match
261200000072,261200000072,INV,2026-04-12,INMOBI PTE. LTD.,200811408G,3816.04,0.00,3816.04,0.00,3816.04,0.00,0.00,O,Exact match
261200000073,261200000073,INV,2026-04-07,APPLE INC ,1234,1226.33,0.00,1226.33,0.00,1226.33,0.00,0.00,O,Exact match
261200000074,261200000074,INV,2026-04-22,GOOGLE IRELAND LIMITED,,9140.36,0.00,9140.36,0.00,9140.36,0.00,0.00,O,Exact match
261200000075,261200000075,INV,2026-04-23,Facebook UK LTD	,,8675.10,0.00,8675.10,0.00,8675.10,0.00,0.00,O,Exact match
261200000076,261200000076,INV,2026-04-28,IronSource Mobile Ltd,,2238.53,0.00,2238.53,0.00,2238.53,0.00,0.00,O,Exact match
261200000077,261200000077,INV,2026-04-30,GOOGLE IRELAND LIMITED,,37215.00,0.00,37215.00,0.00,37215.00,0.00,0.00,O,Exact match
261200000078,261200000078,INV,2026-04-30,Unity Technologies SF,,6262.50,0.00,6262.50,0.00,6262.50,0.00,0.00,O,Exact match
261200000079,261200000079,INV,2026-04-30,ADLOGIC TECHNOLOGY PTE,,11250.00,0.00,11250.00,0.00,11250.00,0.00,0.00,O,Exact match
261200000080,261200000080,INV,2026-04-30,"LMI, INC.",460784178,720.00,0.00,720.00,0.00,720.00,0.00,0.00,O,Exact match
261200000081,261200000081,INV,2026-04-30,BYTEDANCE PTE. LTD.,,1788.75,0.00,1788.75,0.00,1788.75,0.00,0.00,O,Exact match
261200000082,261200000082,INV,2026-04-30,INMOBI PTE. LTD.,200811408G,1222.50,0.00,1222.50,0.00,1222.50,0.00,0.00,O,Exact match
261200000083,261200000083,INV,2026-04-30,Applovin,,40961.25,0.00,40961.25,0.00,40961.25,0.00,0.00,O,Exact match
261200000084,261200000084,INV,2026-04-30,Facebook UK LTD	,,8017.50,0.00,8017.50,0.00,8017.50,0.00,0.00,O,Exact match
261200000088,261200000088,INV,2026-05-18,BYTEDANCE PTE. LTD.,,1586.78,0.00,1586.78,0.00,1586.78,0.00,0.00,O,Exact match
261200000089,261200000089,INV,2026-05-17,BYTEDANCE PTE. LTD.,,6277.84,0.00,6277.84,0.00,6277.84,0.00,0.00,O,Exact match
261200000090,261200000090,INV,2026-05-17,Applovin,,40936.84,0.00,40936.84,0.00,40936.84,0.00,0.00,O,Exact match
261200000091,261200000091,INV,2026-05-13,ADLOGIC TECHNOLOGY PTE,,16827.00,0.00,16827.00,0.00,16827.00,0.00,0.00,O,Exact match
261200000092,261200000092,INV,2026-05-11,INMOBI PTE. LTD.,200811408G,1667.48,0.00,1667.48,0.00,1667.48,0.00,0.00,O,Exact match
261200000093,261200000093,INV,2026-05-04,"LMI, INC.",460784178,4106.25,0.00,4106.25,0.00,4106.25,0.00,0.00,O,Exact match
261200000094,261200000094,INV,2026-05-04,APPLE INC ,1234,573.34,0.00,573.34,0.00,573.34,0.00,0.00,O,Exact match
261200000095,261200000095,INV,2026-05-04,APPLE INC ,1234,3071.48,0.00,3071.48,0.00,2150.03,0.00,0.00,O,Exact match
261200000110,261200000110,INV,2026-05-04,APPLE INC ,1234,819.06,0.00,819.06,0.00,573.34,0.00,0.00,O,Exact match
261400000001,261400000001,INV,2025-12-31,DREAMHACK SPORTS ARABIA - دريم هاك الرياضية العربية,310881493700003,51833.60,7775.04,51833.60,7775.04,59608.64,0.00,0.00,S,Exact match
261400000007,261400000007,INV,2026-05-19,EFG Arabia Company,310881493700003,95749.60,14362.44,95749.60,14362.44,110112.04,0.00,0.00,S,Exact match
61007,61007,,2026-04-01,,311122545310003,0.00,0.00,,,,,,,Missing in AR
61008,61008,,2026-04-01,,311122545310003,0.00,0.00,,,,,,,Missing in AR
61009,61009,,2026-04-01,,311122545310003,0.00,0.00,,,,,,,Missing in AR
62007,62007,,2026-04-01,,311122545310003,0.00,0.00,,,,,,,Missing in AR
63007,63007,,2026-05-14,,311122545310003,0.00,0.00,,,,,,,Missing in AR
261700000001,261700000001,,2026-04-26,,,0.00,0.00,,,,,,,Missing in AR
261700000002,261700000002,,2026-04-26,,,0.00,0.00,,,,,,,Missing in AR
261700000003,261700000003,,2026-03-30,,,0.00,0.00,,,,,,,Missing in AR
261700000004,261700000004,,2026-03-30,,,0.00,0.00,,,,,,,Missing in AR
261700000005,261700000005,,2026-03-29,,,0.00,0.00,,,,,,,Missing in AR
261700000006,261700000006,,2026-03-29,,,0.00,0.00,,,,,,,Missing in AR
261700000007,261700000007,,2026-04-26,,,0.00,0.00,,,,,,,Missing in AR
261700000008,261700000008,,2026-04-26,,,0.00,0.00,,,,,,,Missing in AR
261700000009,261700000009,,2026-05-04,,,0.00,0.00,,,,,,,Missing in AR
261700000010,261700000010,,2026-05-04,,,0.00,0.00,,,,,,,Missing in AR
ADJ. RECEIVABLES A 4075268000001 4075267 N,Adj. Receivables A 4075268000001 4075267 N,JV,2026-01-31,,,,,0.00,0.00,0.00,,,O,Missing in GL
REVERSES ADJ. RECEIVABLES A 4075268000001 4075267 N 14-04-26 14:18:37,Reverses Adj. Receivables A 4075268000001 4075267 N 14-04-26 14:18:37,JV,2026-03-31,,,,,0.00,0.00,0.00,,,O,Missing in GL
ADJ. RECEIVABLES A 4074263000001 4074262 N,Adj. Receivables A 4074263000001 4074262 N,JV,2026-01-31,,,,,0.00,0.00,0.00,,,O,Missing in GL
REVERSES ADJ. RECEIVABLES A 4074263000001 4074262 N 14-04-26 13:43:03,Reverses Adj. Receivables A 4074263000001 4074262 N 14-04-26 13:43:03,JV,2026-03-31,,,,,0.00,0.00,0.00,,,O,Missing in GL
261100000001,261100000001,INV,2026-01-31,Saudi National Bank ,300002471110003,0.00,0.00,194.25,0.00,0.00,194.25,0.00,O,Out of scope by design
261100000002,261100000002,INV,2026-01-31,Saudi Awal Bank ,,0.00,0.00,4673.45,0.00,0.00,4673.45,0.00,E,Out of scope by design
261100000003,261100000003,INV,2026-01-31,AL Rajhi Bank,300000434710003,0.00,0.00,2571.06,0.00,0.00,2571.06,0.00,E,Out of scope by design
261100000004,261100000004,INV,2026-01-31,Saudi Awal Bank ,,0.00,0.00,98645.91,0.00,0.00,98645.91,0.00,E,Out of scope by design
261100000005,261100000005,INV,2026-01-31,Saudi Awal Bank ,,0.00,0.00,8202.23,0.00,0.00,8202.23,0.00,E,Out of scope by design
261100000006,261100000006,INV,2026-01-31,Saudi Awal Bank ,,0.00,0.00,115086.90,0.00,0.00,115086.90,0.00,E,Out of scope by design
261100000007,261100000007,INV,2026-02-28,AL Rajhi Bank,300000434710003,0.00,0.00,8.06,0.00,0.00,8.06,0.00,E,Out of scope by design
261100000008,261100000008,INV,2026-02-28,Saudi Awal Bank ,,0.00,0.00,1402500.00,0.00,0.00,1402500.00,0.00,E,Out of scope by design
261100000009,261100000009,INV,2026-02-28,Saudi Awal Bank ,,0.00,0.00,935000.00,0.00,0.00,935000.00,0.00,E,Out of scope by design
261100000010,261100000010,INV,2026-02-28,Saudi Awal Bank ,,0.00,0.00,233750.00,0.00,0.00,233750.00,0.00,E,Out of scope by design
261100000011,261100000011,INV,2026-02-28,Saudi National Bank ,300002471110003,0.00,0.00,104.78,0.00,0.00,104.78,0.00,E,Out of scope by design
261100000012,261100000012,INV,2026-03-30,Saudi National Bank ,300002471110003,0.00,0.00,154.50,0.00,0.00,154.50,0.00,E,Out of scope by design
261100000013,261100000013,INV,2026-03-30,AL Rajhi Bank,300000434710003,0.00,0.00,7.28,0.00,0.00,7.28,0.00,E,Out of scope by design
261100000014,261100000014,INV,2026-03-30,Saudi Awal Bank ,,0.00,0.00,813611.11,0.00,0.00,813611.11,0.00,E,Out of scope by design
261100000015,261100000015,INV,2026-03-30,Saudi Awal Bank ,,0.00,0.00,406805.56,0.00,0.00,406805.56,0.00,E,Out of scope by design
261100000016,261100000016,INV,2026-03-30,Saudi Awal Bank ,,0.00,0.00,406805.56,0.00,0.00,406805.56,0.00,E,Out of scope by design
261100000017,261100000017,INV,2026-03-30,Saudi Awal Bank ,,0.00,0.00,203402.78,0.00,0.00,203402.78,0.00,E,Out of scope by design
261100000018,261100000018,INV,2026-03-30,Saudi Awal Bank ,,0.00,0.00,293333.33,0.00,0.00,293333.33,0.00,E,Out of scope by design
261100000019,261100000019,INV,2026-03-30,Saudi Awal Bank ,,0.00,0.00,293333.33,0.00,0.00,293333.33,0.00,E,Out of scope by design
261100000020,261100000020,INV,2026-03-30,Saudi Awal Bank ,,0.00,0.00,146666.67,0.00,0.00,146666.67,0.00,E,Out of scope by design
261100000021,261100000021,INV,2026-03-31,Saudi Awal Bank ,,0.00,0.00,494284.91,0.00,0.00,494284.91,0.00,E,Out of scope by design
