entity_id,billing_doc_id,accounting_doc_id,official_doc_id,fiscal_year,doc_type,doc_date,posting_date,currency,fx_rate,net_amount,tax_amount,gross_amount,tax_code,customer_id,customer_tin,customer_name
O2,INV-OMN-500063,INV-OMN-500063,INV-OMN-500063,2026,Invoice,2026-06-26,2026-06-28,OMR,1.0,8001.082,400.054,8401.136,S5,OM1274528482,OM1274528482,Horizon FMCG
O1,INV-OMN-500066,INV-OMN-500066,INV-OMN-500066,2026,Invoice,2026-06-16,2026-06-18,OMR,1.0,14169.330,708.466,14877.796,S5,OM8112643745,OM8112643745,Summit Traders
O2,INV-OMN-500070,INV-OMN-500070,INV-OMN-500070,2026,Invoice,2026-06-18,2026-06-22,OMR,1.0,22977.933,1148.897,24126.830,S5,OM2427267866,OM2427267866,Summit Traders
O2,INV-OMN-500073,INV-OMN-500073,INV-OMN-500073,2026,Invoice,2026-06-25,2026-06-26,OMR,1.0,37783.351,1889.168,39672.519,S5,OM2173414450,OM2173414450,Delta Foods
O1,INV-OMN-500076,INV-OMN-500076,INV-OMN-500076,2026,Invoice,2026-07-04,2026-07-08,OMR,1.0,7394.542,369.727,7764.269,S5,OM9466334776,OM9466334776,Falcon Trading Est.
O2,INV-OMN-500080,INV-OMN-500080,INV-OMN-500080,2026,Invoice,2026-07-14,2026-07-16,OMR,1.0,13260.295,663.015,13923.310,S5,OM2936763877,OM2936763877,Falcon Trading Est.
O1,INV-OMN-500084,INV-OMN-500084,INV-OMN-500084,2026,Invoice,2026-06-24,2026-06-27,OMR,1.0,20715.608,1035.780,21751.388,S5,OM9730214136,OM9730214136,Summit Traders
O2,INV-OMN-500086,INV-OMN-500086,INV-OMN-500086,2026,Invoice,2026-06-20,2026-06-21,OMR,1.0,36029.230,1801.462,37830.692,S5,OM9774886041,OM9774886041,Horizon FMCG
O2,INV-OMN-500088,INV-OMN-500088,INV-OMN-500088,2026,Invoice,2026-07-01,2026-07-02,OMR,1.0,8718.953,435.948,9154.901,S5,OM6114569887,OM6114569887,Cedar Supplies Co.
O1,INV-OMN-500092,INV-OMN-500092,INV-OMN-500092,2026,Invoice,2026-06-28,2026-06-29,OMR,1.0,25899.868,1294.993,27194.861,S5,OM2812829662,OM2812829662,Marina Enterprises
O1,INV-OMN-500093,INV-OMN-500093,INV-OMN-500093,2026,Invoice,2026-06-28,2026-07-02,OMR,1.0,18871.768,943.588,19815.356,S5,OM1843577200,OM1843577200,Gulf Mega Stores
O1,INV-OMN-500095,INV-OMN-500095,INV-OMN-500095,2026,Invoice,2026-07-14,2026-07-18,OMR,1.0,24243.730,1212.187,25455.917,S5,OM9025457391,OM9025457391,Al Noor Distribution
O1,INV-OMN-500096,INV-OMN-500096,INV-OMN-500096,2026,Invoice,2026-07-09,2026-07-13,OMR,1.0,18446.274,922.314,19368.588,S5,OM8489715724,OM8489715724,Horizon FMCG
O1,INV-OMN-500097,INV-OMN-500097,INV-OMN-500097,2026,Invoice,2026-06-19,2026-06-22,OMR,1.0,23943.956,1197.198,25141.154,S5,OM2838366257,OM2838366257,Delta Foods
O2,INV-OMN-500098,INV-OMN-500098,INV-OMN-500098,2026,Invoice,2026-07-10,2026-07-11,OMR,1.0,23410.804,1170.540,24581.344,S5,OM5647733271,OM5647733271,Al Noor Distribution
O2,INV-OMN-500100,INV-OMN-500100,INV-OMN-500100,2026,Invoice,2026-06-27,2026-06-28,OMR,1.0,18225.260,911.263,19136.523,S5,OM5275232475,OM5275232475,Horizon FMCG
O1,INV-OMN-500102,INV-OMN-500102,INV-OMN-500102,2026,Invoice,2026-07-08,2026-07-09,OMR,1.0,6678.963,333.948,7012.911,S5,OM3619692206,OM3619692206,Gulf Mega Stores
O2,INV-OMN-500105,INV-OMN-500105,INV-OMN-500105,2026,Invoice,2026-06-24,2026-06-26,OMR,1.0,29069.398,1453.470,30522.868,S5,OM2485264972,OM2485264972,Marina Enterprises
O2,INV-OMN-500109,INV-OMN-500109,INV-OMN-500109,2026,Invoice,2026-06-24,2026-06-28,OMR,1.0,20331.847,1016.592,21348.439,S5,OM3085796046,OM3085796046,Summit Traders
O2,INV-OMN-500113,INV-OMN-500113,INV-OMN-500113,2026,Invoice,2026-07-04,2026-07-05,OMR,1.0,23323.430,1166.172,24489.602,S5,OM0776009532,OM0776009532,Marina Enterprises
O1,INV-OMN-500114,INV-OMN-500114,INV-OMN-500114,2026,Invoice,2026-07-04,2026-07-08,OMR,1.0,30455.287,1522.764,31978.051,S5,OM9105141876,OM9105141876,Cedar Supplies Co.
O2,INV-OMN-500115,INV-OMN-500115,INV-OMN-500115,2026,Invoice,2026-06-23,2026-06-23,OMR,1.0,26632.252,1331.613,27963.865,S5,OM1471206754,OM1471206754,Al Noor Distribution
O1,INV-OMN-500117,INV-OMN-500117,INV-OMN-500117,2026,Invoice,2026-07-01,2026-07-03,OMR,1.0,20005.943,1000.297,21006.240,S5,OM5336105051,OM5336105051,Cedar Supplies Co.
O1,INV-OMN-500129,INV-OMN-500129,INV-OMN-500129,2026,Credit Note,2026-06-22,2026-06-24,OMR,1.0,-33810.801,-1690.540,-35501.341,S5,OM2164242715,OM2164242715,Al Noor Distribution
O1,INV-OMN-500133,INV-OMN-500133,INV-OMN-500133,2026,Credit Note,2026-07-06,2026-07-06,OMR,1.0,-25917.560,-1295.878,-27213.438,S5,OM7854965127,OM7854965127,Summit Traders
O2,INV-OMN-500134,INV-OMN-500134,INV-OMN-500134,2026,Invoice,2026-06-27,2026-06-30,OMR,1.0,29138.653,1456.933,30595.586,S5,OM5695573742,OM5695573742,Pearl Retail Group
O1,INV-OMN-500137,INV-OMN-500137,INV-OMN-500137,2026,Invoice,2026-06-24,2026-06-27,OMR,1.0,27310.741,1365.537,28676.278,S5,OM9483208154,OM9483208154,Cedar Supplies Co.
O1,INV-OMN-500139,INV-OMN-500139,INV-OMN-500139,2026,Invoice,2026-06-26,2026-06-29,OMR,1.0,30893.396,1544.670,32438.066,S5,OM3670619248,OM3670619248,Pearl Retail Group
O1,INV-OMN-500140,INV-OMN-500140,INV-OMN-500140,2026,Invoice,2026-06-18,2026-06-22,OMR,1.0,8278.837,413.942,8692.779,S5,OM9895543522,OM9895543522,Marina Enterprises
O1,INV-OMN-500143,INV-OMN-500143,INV-OMN-500143,2026,Invoice,2026-07-12,2026-07-16,OMR,1.0,2513.935,0.000,2513.935,EX,OM1649475528,OM1649475528,Gulf Mega Stores
O2,INV-OMN-500147,INV-OMN-500147,INV-OMN-500147,2026,Invoice,2026-07-07,2026-07-07,OMR,1.0,10003.518,0.000,10003.518,EX,OM3827081238,OM3827081238,Gulf Mega Stores
O2,INV-OMN-500150,INV-OMN-500150,INV-OMN-500150,2026,Invoice,2026-06-23,2026-06-27,OMR,1.0,11939.639,0.000,11939.639,EX,OM7936592906,OM7936592906,Marina Enterprises
O1,INV-OMN-500151,INV-OMN-500151,INV-OMN-500151,2026,Invoice,2026-06-29,2026-06-30,OMR,1.0,6388.674,0.000,6388.674,EX,OM5061732197,OM5061732197,Al Noor Distribution
