scenario_id,scenario_name,expected_cell,expected_bucket,expected_tier,expected_cardinality,gl_docs,ar_docs,einv_docs,expected_ambiguous,expected_min_alternatives
2010,filler_cash_T2,E3,NON_CUSTOMER_SETTLED_SALE,T2,1:0:1,C2CF10,,C2CF10,false,0
2011,filler_cash_T2,E3,NON_CUSTOMER_SETTLED_SALE,T2,1:0:1,C2CF11,,C2CF11,false,0
2012,filler_cash_T2,E3,NON_CUSTOMER_SETTLED_SALE,T2,1:0:1,C2CF12,,C2CF12,false,0
2013,filler_cash_T2,E3,NON_CUSTOMER_SETTLED_SALE,T2,1:0:1,C2CF13,,C2CF13,false,0
2014,filler_cash_T2,E3,NON_CUSTOMER_SETTLED_SALE,T2,1:0:1,C2CF14,,C2CF14,false,0
2015,filler_cash_T2,E3,NON_CUSTOMER_SETTLED_SALE,T2,1:0:1,C2CF15,,C2CF15,false,0
2016,filler_cash_T2,E3,NON_CUSTOMER_SETTLED_SALE,T2,1:0:1,C2CF16,,C2CF16,false,0
2017,filler_cash_T2,E3,NON_CUSTOMER_SETTLED_SALE,T2,1:0:1,C2CF17,,C2CF17,false,0
2018,filler_cash_T2,E3,NON_CUSTOMER_SETTLED_SALE,T2,1:0:1,C2CF18,,C2CF18,false,0
2019,filler_cash_T2,E3,NON_CUSTOMER_SETTLED_SALE,T2,1:0:1,C2CF19,,C2CF19,false,0
2020,filler_cash_T2,E3,NON_CUSTOMER_SETTLED_SALE,T2,1:0:1,C2CF20,,C2CF20,false,0
2021,filler_cash_T2,E3,NON_CUSTOMER_SETTLED_SALE,T2,1:0:1,C2CF21,,C2CF21,false,0
2022,filler_cash_T2,E3,NON_CUSTOMER_SETTLED_SALE,T2,1:0:1,C2CF22,,C2CF22,false,0
2023,filler_cash_T2,E3,NON_CUSTOMER_SETTLED_SALE,T2,1:0:1,C2CF23,,C2CF23,false,0
2024,filler_cash_T2,E3,NON_CUSTOMER_SETTLED_SALE,T2,1:0:1,C2CF24,,C2CF24,false,0
2025,filler_cash_T2,E3,NON_CUSTOMER_SETTLED_SALE,T2,1:0:1,C2CF25,,C2CF25,false,0
2026,filler_cash_T2,E3,NON_CUSTOMER_SETTLED_SALE,T2,1:0:1,C2CF26,,C2CF26,false,0
2027,filler_cash_T2,E3,NON_CUSTOMER_SETTLED_SALE,T2,1:0:1,C2CF27,,C2CF27,false,0
2028,filler_cash_T2,E3,NON_CUSTOMER_SETTLED_SALE,T2,1:0:1,C2CF28,,C2CF28,false,0
2029,filler_cash_T2,E3,NON_CUSTOMER_SETTLED_SALE,T2,1:0:1,C2CF29,,C2CF29,false,0
2030,filler_cash_T2,E3,NON_CUSTOMER_SETTLED_SALE,T2,1:0:1,C2CF30,,C2CF30,false,0
2031,filler_cash_T2,E3,NON_CUSTOMER_SETTLED_SALE,T2,1:0:1,C2CF31,,C2CF31,false,0
2032,filler_cash_T2,E3,NON_CUSTOMER_SETTLED_SALE,T2,1:0:1,C2CF32,,C2CF32,false,0
2033,filler_cash_T2,E3,NON_CUSTOMER_SETTLED_SALE,T2,1:0:1,C2CF33,,C2CF33,false,0
2034,filler_cash_T2,E3,NON_CUSTOMER_SETTLED_SALE,T2,1:0:1,C2CF34,,C2CF34,false,0
2035,filler_cash_T2,E3,NON_CUSTOMER_SETTLED_SALE,T2,1:0:1,C2CF35,,C2CF35,false,0
2036,filler_cash_T2,E3,NON_CUSTOMER_SETTLED_SALE,T2,1:0:1,C2CF36,,C2CF36,false,0
2037,filler_cash_T2,E3,NON_CUSTOMER_SETTLED_SALE,T2,1:0:1,C2CF37,,C2CF37,false,0
2038,filler_cash_T2,E3,NON_CUSTOMER_SETTLED_SALE,T2,1:0:1,C2CF38,,C2CF38,false,0
2039,filler_cash_T2,E3,NON_CUSTOMER_SETTLED_SALE,T2,1:0:1,C2CF39,,C2CF39,false,0
2040,filler_cash_T2,E3,NON_CUSTOMER_SETTLED_SALE,T2,1:0:1,C2CF40,,C2CF40,false,0
2041,filler_cash_T2,E3,NON_CUSTOMER_SETTLED_SALE,T2,1:0:1,C2CF41,,C2CF41,false,0
2042,filler_cash_T2,E3,NON_CUSTOMER_SETTLED_SALE,T2,1:0:1,C2CF42,,C2CF42,false,0
2043,filler_cash_T2,E3,NON_CUSTOMER_SETTLED_SALE,T2,1:0:1,C2CF43,,C2CF43,false,0
2044,filler_cash_T2,E3,NON_CUSTOMER_SETTLED_SALE,T2,1:0:1,C2CF44,,C2CF44,false,0
2045,filler_cash_T2,E3,NON_CUSTOMER_SETTLED_SALE,T2,1:0:1,C2CF45,,C2CF45,false,0
2046,filler_cash_T2,E3,NON_CUSTOMER_SETTLED_SALE,T2,1:0:1,C2CF46,,C2CF46,false,0
2047,filler_cash_T2,E3,NON_CUSTOMER_SETTLED_SALE,T2,1:0:1,C2CF47,,C2CF47,false,0
2048,filler_cash_T2,E3,NON_CUSTOMER_SETTLED_SALE,T2,1:0:1,C2CF48,,C2CF48,false,0
2049,filler_cash_T2,E3,NON_CUSTOMER_SETTLED_SALE,T2,1:0:1,C2CF49,,C2CF49,false,0
2050,filler_cash_T2,E3,NON_CUSTOMER_SETTLED_SALE,T2,1:0:1,C2CF50,,C2CF50,false,0
2051,filler_cash_T2,E3,NON_CUSTOMER_SETTLED_SALE,T2,1:0:1,C2CF51,,C2CF51,false,0
2052,filler_cash_T2,E3,NON_CUSTOMER_SETTLED_SALE,T2,1:0:1,C2CF52,,C2CF52,false,0
2053,filler_cash_T2,E3,NON_CUSTOMER_SETTLED_SALE,T2,1:0:1,C2CF53,,C2CF53,false,0
2054,filler_cash_T2,E3,NON_CUSTOMER_SETTLED_SALE,T2,1:0:1,C2CF54,,C2CF54,false,0
2055,filler_cash_T2,E3,NON_CUSTOMER_SETTLED_SALE,T2,1:0:1,C2CF55,,C2CF55,false,0
2056,filler_cash_T2,E3,NON_CUSTOMER_SETTLED_SALE,T2,1:0:1,C2CF56,,C2CF56,false,0
2057,filler_cash_T2,E3,NON_CUSTOMER_SETTLED_SALE,T2,1:0:1,C2CF57,,C2CF57,false,0
2058,filler_cash_T2,E3,NON_CUSTOMER_SETTLED_SALE,T2,1:0:1,C2CF58,,C2CF58,false,0
2059,filler_cash_T2,E3,NON_CUSTOMER_SETTLED_SALE,T2,1:0:1,C2CF59,,C2CF59,false,0
2060,filler_cash_T2,E3,NON_CUSTOMER_SETTLED_SALE,T2,1:0:1,C2CF60,,C2CF60,false,0
2061,filler_cash_T2,E3,NON_CUSTOMER_SETTLED_SALE,T2,1:0:1,C2CF61,,C2CF61,false,0
2062,filler_cash_T2,E3,NON_CUSTOMER_SETTLED_SALE,T2,1:0:1,C2CF62,,C2CF62,false,0
2063,filler_cash_T2,E3,NON_CUSTOMER_SETTLED_SALE,T2,1:0:1,C2CF63,,C2CF63,false,0
2064,filler_cash_T2,E3,NON_CUSTOMER_SETTLED_SALE,T2,1:0:1,C2CF64,,C2CF64,false,0
2065,filler_cash_T2,E3,NON_CUSTOMER_SETTLED_SALE,T2,1:0:1,C2CF65,,C2CF65,false,0
2066,filler_cash_T2,E3,NON_CUSTOMER_SETTLED_SALE,T2,1:0:1,C2CF66,,C2CF66,false,0
2067,filler_cash_T2,E3,NON_CUSTOMER_SETTLED_SALE,T2,1:0:1,C2CF67,,C2CF67,false,0
2068,filler_cash_T2,E3,NON_CUSTOMER_SETTLED_SALE,T2,1:0:1,C2CF68,,C2CF68,false,0
2069,filler_cash_T2,E3,NON_CUSTOMER_SETTLED_SALE,T2,1:0:1,C2CF69,,C2CF69,false,0
2070,filler_cash_T2,E3,NON_CUSTOMER_SETTLED_SALE,T2,1:0:1,C2CF70,,C2CF70,false,0
2071,filler_cash_T2,E3,NON_CUSTOMER_SETTLED_SALE,T2,1:0:1,C2CF71,,C2CF71,false,0
2072,filler_cash_T2,E3,NON_CUSTOMER_SETTLED_SALE,T2,1:0:1,C2CF72,,C2CF72,false,0
2073,filler_cash_T2,E3,NON_CUSTOMER_SETTLED_SALE,T2,1:0:1,C2CF73,,C2CF73,false,0
2074,filler_cash_T2,E3,NON_CUSTOMER_SETTLED_SALE,T2,1:0:1,C2CF74,,C2CF74,false,0
2075,filler_cash_T2,E3,NON_CUSTOMER_SETTLED_SALE,T2,1:0:1,C2CF75,,C2CF75,false,0
2076,filler_cash_T2,E3,NON_CUSTOMER_SETTLED_SALE,T2,1:0:1,C2CF76,,C2CF76,false,0
2077,filler_cash_T2,E3,NON_CUSTOMER_SETTLED_SALE,T2,1:0:1,C2CF77,,C2CF77,false,0
2078,filler_cash_T2,E3,NON_CUSTOMER_SETTLED_SALE,T2,1:0:1,C2CF78,,C2CF78,false,0
2079,filler_cash_T2,E3,NON_CUSTOMER_SETTLED_SALE,T2,1:0:1,C2CF79,,C2CF79,false,0
2080,filler_cash_T2,E3,NON_CUSTOMER_SETTLED_SALE,T2,1:0:1,C2CF80,,C2CF80,false,0
2081,filler_cash_T2,E3,NON_CUSTOMER_SETTLED_SALE,T2,1:0:1,C2CF81,,C2CF81,false,0
2082,filler_cash_T2,E3,NON_CUSTOMER_SETTLED_SALE,T2,1:0:1,C2CF82,,C2CF82,false,0
2083,filler_cash_T2,E3,NON_CUSTOMER_SETTLED_SALE,T2,1:0:1,C2CF83,,C2CF83,false,0
2084,filler_cash_T2,E3,NON_CUSTOMER_SETTLED_SALE,T2,1:0:1,C2CF84,,C2CF84,false,0
2085,filler_cash_T2,E3,NON_CUSTOMER_SETTLED_SALE,T2,1:0:1,C2CF85,,C2CF85,false,0
2086,filler_cash_T2,E3,NON_CUSTOMER_SETTLED_SALE,T2,1:0:1,C2CF86,,C2CF86,false,0
2087,filler_cash_T2,E3,NON_CUSTOMER_SETTLED_SALE,T2,1:0:1,C2CF87,,C2CF87,false,0
2088,filler_cash_T2,E3,NON_CUSTOMER_SETTLED_SALE,T2,1:0:1,C2CF88,,C2CF88,false,0
2089,filler_cash_T2,E3,NON_CUSTOMER_SETTLED_SALE,T2,1:0:1,C2CF89,,C2CF89,false,0
2090,filler_cash_T2,E3,NON_CUSTOMER_SETTLED_SALE,T2,1:0:1,C2CF90,,C2CF90,false,0
2091,filler_cash_T2,E3,NON_CUSTOMER_SETTLED_SALE,T2,1:0:1,C2CF91,,C2CF91,false,0
2092,filler_cash_T2,E3,NON_CUSTOMER_SETTLED_SALE,T2,1:0:1,C2CF92,,C2CF92,false,0
2093,filler_cash_T2,E3,NON_CUSTOMER_SETTLED_SALE,T2,1:0:1,C2CF93,,C2CF93,false,0
2094,filler_cash_T2,E3,NON_CUSTOMER_SETTLED_SALE,T2,1:0:1,C2CF94,,C2CF94,false,0
2095,filler_cash_T2,E3,NON_CUSTOMER_SETTLED_SALE,T2,1:0:1,C2CF95,,C2CF95,false,0
2096,filler_cash_T2,E3,NON_CUSTOMER_SETTLED_SALE,T2,1:0:1,C2CF96,,C2CF96,false,0
2097,filler_cash_T2,E3,NON_CUSTOMER_SETTLED_SALE,T2,1:0:1,C2CF97,,C2CF97,false,0
2098,filler_cash_T2,E3,NON_CUSTOMER_SETTLED_SALE,T2,1:0:1,C2CF98,,C2CF98,false,0
2099,filler_cash_T2,E3,NON_CUSTOMER_SETTLED_SALE,T2,1:0:1,C2CF99,,C2CF99,false,0
2100,filler_cash_T2,E3,NON_CUSTOMER_SETTLED_SALE,T2,1:0:1,C2CF100,,C2CF100,false,0
2101,filler_cash_T2,E3,NON_CUSTOMER_SETTLED_SALE,T2,1:0:1,C2CF101,,C2CF101,false,0
2102,filler_cash_T2,E3,NON_CUSTOMER_SETTLED_SALE,T2,1:0:1,C2CF102,,C2CF102,false,0
2103,filler_cash_T2,E3,NON_CUSTOMER_SETTLED_SALE,T2,1:0:1,C2CF103,,C2CF103,false,0
2104,filler_cash_T2,E3,NON_CUSTOMER_SETTLED_SALE,T2,1:0:1,C2CF104,,C2CF104,false,0
2105,filler_cash_T2,E3,NON_CUSTOMER_SETTLED_SALE,T2,1:0:1,C2CF105,,C2CF105,false,0
2106,filler_cash_T2,E3,NON_CUSTOMER_SETTLED_SALE,T2,1:0:1,C2CF106,,C2CF106,false,0
2107,filler_cash_T2,E3,NON_CUSTOMER_SETTLED_SALE,T2,1:0:1,C2CF107,,C2CF107,false,0
2108,filler_cash_T2,E3,NON_CUSTOMER_SETTLED_SALE,T2,1:0:1,C2CF108,,C2CF108,false,0
2109,filler_cash_T2,E3,NON_CUSTOMER_SETTLED_SALE,T2,1:0:1,C2CF109,,C2CF109,false,0
2110,filler_cash_T2,E3,NON_CUSTOMER_SETTLED_SALE,T2,1:0:1,C2CF110,,C2CF110,false,0
2111,filler_cash_T2,E3,NON_CUSTOMER_SETTLED_SALE,T2,1:0:1,C2CF111,,C2CF111,false,0
2112,filler_cash_T2,E3,NON_CUSTOMER_SETTLED_SALE,T2,1:0:1,C2CF112,,C2CF112,false,0
2113,filler_cash_T2,E3,NON_CUSTOMER_SETTLED_SALE,T2,1:0:1,C2CF113,,C2CF113,false,0
2114,filler_cash_T2,E3,NON_CUSTOMER_SETTLED_SALE,T2,1:0:1,C2CF114,,C2CF114,false,0
2115,filler_cash_T2,E3,NON_CUSTOMER_SETTLED_SALE,T2,1:0:1,C2CF115,,C2CF115,false,0
2116,filler_cash_T2,E3,NON_CUSTOMER_SETTLED_SALE,T2,1:0:1,C2CF116,,C2CF116,false,0
2117,filler_cash_T2,E3,NON_CUSTOMER_SETTLED_SALE,T2,1:0:1,C2CF117,,C2CF117,false,0
2118,filler_cash_T2,E3,NON_CUSTOMER_SETTLED_SALE,T2,1:0:1,C2CF118,,C2CF118,false,0
2119,filler_cash_T2,E3,NON_CUSTOMER_SETTLED_SALE,T2,1:0:1,C2CF119,,C2CF119,false,0
2120,filler_cash_T2,E3,NON_CUSTOMER_SETTLED_SALE,T2,1:0:1,C2CF120,,C2CF120,false,0
2121,filler_cash_T2,E3,NON_CUSTOMER_SETTLED_SALE,T2,1:0:1,C2CF121,,C2CF121,false,0
2122,filler_cash_T2,E3,NON_CUSTOMER_SETTLED_SALE,T2,1:0:1,C2CF122,,C2CF122,false,0
2123,filler_cash_T2,E3,NON_CUSTOMER_SETTLED_SALE,T2,1:0:1,C2CF123,,C2CF123,false,0
2124,filler_cash_T2,E3,NON_CUSTOMER_SETTLED_SALE,T2,1:0:1,C2CF124,,C2CF124,false,0
2125,filler_cash_T2,E3,NON_CUSTOMER_SETTLED_SALE,T2,1:0:1,C2CF125,,C2CF125,false,0
2126,filler_cash_T2,E3,NON_CUSTOMER_SETTLED_SALE,T2,1:0:1,C2CF126,,C2CF126,false,0
2127,filler_cash_T2,E3,NON_CUSTOMER_SETTLED_SALE,T2,1:0:1,C2CF127,,C2CF127,false,0
2128,filler_cash_T2,E3,NON_CUSTOMER_SETTLED_SALE,T2,1:0:1,C2CF128,,C2CF128,false,0
2129,filler_cash_T2,E3,NON_CUSTOMER_SETTLED_SALE,T2,1:0:1,C2CF129,,C2CF129,false,0
2130,filler_cash_T2,E3,NON_CUSTOMER_SETTLED_SALE,T2,1:0:1,C2CF130,,C2CF130,false,0
2131,filler_cash_T2,E3,NON_CUSTOMER_SETTLED_SALE,T2,1:0:1,C2CF131,,C2CF131,false,0
2132,filler_cash_T2,E3,NON_CUSTOMER_SETTLED_SALE,T2,1:0:1,C2CF132,,C2CF132,false,0
2133,filler_cash_T2,E3,NON_CUSTOMER_SETTLED_SALE,T2,1:0:1,C2CF133,,C2CF133,false,0
2134,filler_cash_T2,E3,NON_CUSTOMER_SETTLED_SALE,T2,1:0:1,C2CF134,,C2CF134,false,0
2135,filler_cash_T2,E3,NON_CUSTOMER_SETTLED_SALE,T2,1:0:1,C2CF135,,C2CF135,false,0
2136,filler_cash_T2,E3,NON_CUSTOMER_SETTLED_SALE,T2,1:0:1,C2CF136,,C2CF136,false,0
2137,filler_cash_T2,E3,NON_CUSTOMER_SETTLED_SALE,T2,1:0:1,C2CF137,,C2CF137,false,0
2138,filler_cash_T2,E3,NON_CUSTOMER_SETTLED_SALE,T2,1:0:1,C2CF138,,C2CF138,false,0
2139,filler_cash_T2,E3,NON_CUSTOMER_SETTLED_SALE,T2,1:0:1,C2CF139,,C2CF139,false,0
2140,filler_cash_T2,E3,NON_CUSTOMER_SETTLED_SALE,T2,1:0:1,C2CF140,,C2CF140,false,0
2141,filler_cash_T2,E3,NON_CUSTOMER_SETTLED_SALE,T2,1:0:1,C2CF141,,C2CF141,false,0
2142,filler_cash_T2,E3,NON_CUSTOMER_SETTLED_SALE,T2,1:0:1,C2CF142,,C2CF142,false,0
2143,filler_cash_T2,E3,NON_CUSTOMER_SETTLED_SALE,T2,1:0:1,C2CF143,,C2CF143,false,0
2144,filler_cash_T2,E3,NON_CUSTOMER_SETTLED_SALE,T2,1:0:1,C2CF144,,C2CF144,false,0
2145,filler_cash_T2,E3,NON_CUSTOMER_SETTLED_SALE,T2,1:0:1,C2CF145,,C2CF145,false,0
2146,filler_cash_T2,E3,NON_CUSTOMER_SETTLED_SALE,T2,1:0:1,C2CF146,,C2CF146,false,0
2147,filler_cash_T2,E3,NON_CUSTOMER_SETTLED_SALE,T2,1:0:1,C2CF147,,C2CF147,false,0
2148,filler_cash_T2,E3,NON_CUSTOMER_SETTLED_SALE,T2,1:0:1,C2CF148,,C2CF148,false,0
2149,filler_cash_T2,E3,NON_CUSTOMER_SETTLED_SALE,T2,1:0:1,C2CF149,,C2CF149,false,0
2150,filler_cash_T2,E3,NON_CUSTOMER_SETTLED_SALE,T2,1:0:1,C2CF150,,C2CF150,false,0
2151,filler_cash_T2,E3,NON_CUSTOMER_SETTLED_SALE,T2,1:0:1,C2CF151,,C2CF151,false,0
2152,filler_cash_T2,E3,NON_CUSTOMER_SETTLED_SALE,T2,1:0:1,C2CF152,,C2CF152,false,0
2153,filler_cash_T2,E3,NON_CUSTOMER_SETTLED_SALE,T2,1:0:1,C2CF153,,C2CF153,false,0
2154,filler_cash_T2,E3,NON_CUSTOMER_SETTLED_SALE,T2,1:0:1,C2CF154,,C2CF154,false,0
2155,filler_cash_T2,E3,NON_CUSTOMER_SETTLED_SALE,T2,1:0:1,C2CF155,,C2CF155,false,0
2156,filler_cash_T2,E3,NON_CUSTOMER_SETTLED_SALE,T2,1:0:1,C2CF156,,C2CF156,false,0
2157,filler_cash_T2,E3,NON_CUSTOMER_SETTLED_SALE,T2,1:0:1,C2CF157,,C2CF157,false,0
2158,filler_cash_T2,E3,NON_CUSTOMER_SETTLED_SALE,T2,1:0:1,C2CF158,,C2CF158,false,0
2159,filler_cash_T2,E3,NON_CUSTOMER_SETTLED_SALE,T2,1:0:1,C2CF159,,C2CF159,false,0
2160,filler_cash_T2,E3,NON_CUSTOMER_SETTLED_SALE,T2,1:0:1,C2CF160,,C2CF160,false,0
2161,filler_cash_T2,E3,NON_CUSTOMER_SETTLED_SALE,T2,1:0:1,C2CF161,,C2CF161,false,0
2162,filler_cash_T2,E3,NON_CUSTOMER_SETTLED_SALE,T2,1:0:1,C2CF162,,C2CF162,false,0
2163,filler_cash_T2,E3,NON_CUSTOMER_SETTLED_SALE,T2,1:0:1,C2CF163,,C2CF163,false,0
2164,filler_cash_T2,E3,NON_CUSTOMER_SETTLED_SALE,T2,1:0:1,C2CF164,,C2CF164,false,0
2165,filler_cash_T2,E3,NON_CUSTOMER_SETTLED_SALE,T2,1:0:1,C2CF165,,C2CF165,false,0
2166,filler_cash_T2,E3,NON_CUSTOMER_SETTLED_SALE,T2,1:0:1,C2CF166,,C2CF166,false,0
2167,filler_cash_T2,E3,NON_CUSTOMER_SETTLED_SALE,T2,1:0:1,C2CF167,,C2CF167,false,0
2168,filler_cash_T2,E3,NON_CUSTOMER_SETTLED_SALE,T2,1:0:1,C2CF168,,C2CF168,false,0
2169,filler_cash_T2,E3,NON_CUSTOMER_SETTLED_SALE,T2,1:0:1,C2CF169,,C2CF169,false,0
2170,filler_cash_T2,E3,NON_CUSTOMER_SETTLED_SALE,T2,1:0:1,C2CF170,,C2CF170,false,0
2171,filler_cash_T2,E3,NON_CUSTOMER_SETTLED_SALE,T2,1:0:1,C2CF171,,C2CF171,false,0
2172,filler_cash_T2,E3,NON_CUSTOMER_SETTLED_SALE,T2,1:0:1,C2CF172,,C2CF172,false,0
2173,filler_cash_T2,E3,NON_CUSTOMER_SETTLED_SALE,T2,1:0:1,C2CF173,,C2CF173,false,0
2174,filler_cash_T2,E3,NON_CUSTOMER_SETTLED_SALE,T2,1:0:1,C2CF174,,C2CF174,false,0
2175,filler_cash_T2,E3,NON_CUSTOMER_SETTLED_SALE,T2,1:0:1,C2CF175,,C2CF175,false,0
2176,filler_cash_T2,E3,NON_CUSTOMER_SETTLED_SALE,T2,1:0:1,C2CF176,,C2CF176,false,0
2177,filler_cash_T2,E3,NON_CUSTOMER_SETTLED_SALE,T2,1:0:1,C2CF177,,C2CF177,false,0
2178,filler_cash_T2,E3,NON_CUSTOMER_SETTLED_SALE,T2,1:0:1,C2CF178,,C2CF178,false,0
2179,filler_cash_T2,E3,NON_CUSTOMER_SETTLED_SALE,T2,1:0:1,C2CF179,,C2CF179,false,0
2180,filler_cash_T2,E3,NON_CUSTOMER_SETTLED_SALE,T2,1:0:1,C2CF180,,C2CF180,false,0
2181,filler_cash_T2,E3,NON_CUSTOMER_SETTLED_SALE,T2,1:0:1,C2CF181,,C2CF181,false,0
2182,filler_cash_T2,E3,NON_CUSTOMER_SETTLED_SALE,T2,1:0:1,C2CF182,,C2CF182,false,0
2183,filler_cash_T2,E3,NON_CUSTOMER_SETTLED_SALE,T2,1:0:1,C2CF183,,C2CF183,false,0
2184,filler_cash_T2,E3,NON_CUSTOMER_SETTLED_SALE,T2,1:0:1,C2CF184,,C2CF184,false,0
2185,filler_cash_T2,E3,NON_CUSTOMER_SETTLED_SALE,T2,1:0:1,C2CF185,,C2CF185,false,0
2186,filler_cash_T2,E3,NON_CUSTOMER_SETTLED_SALE,T2,1:0:1,C2CF186,,C2CF186,false,0
2187,filler_cash_T2,E3,NON_CUSTOMER_SETTLED_SALE,T2,1:0:1,C2CF187,,C2CF187,false,0
2188,filler_cash_T2,E3,NON_CUSTOMER_SETTLED_SALE,T2,1:0:1,C2CF188,,C2CF188,false,0
2189,filler_cash_T2,E3,NON_CUSTOMER_SETTLED_SALE,T2,1:0:1,C2CF189,,C2CF189,false,0
2190,filler_cash_T2,E3,NON_CUSTOMER_SETTLED_SALE,T2,1:0:1,C2CF190,,C2CF190,false,0
2191,filler_cash_T2,E3,NON_CUSTOMER_SETTLED_SALE,T2,1:0:1,C2CF191,,C2CF191,false,0
2192,filler_cash_T2,E3,NON_CUSTOMER_SETTLED_SALE,T2,1:0:1,C2CF192,,C2CF192,false,0
2193,filler_cash_T2,E3,NON_CUSTOMER_SETTLED_SALE,T2,1:0:1,C2CF193,,C2CF193,false,0
2194,filler_cash_T2,E3,NON_CUSTOMER_SETTLED_SALE,T2,1:0:1,C2CF194,,C2CF194,false,0
2195,filler_cash_T2,E3,NON_CUSTOMER_SETTLED_SALE,T2,1:0:1,C2CF195,,C2CF195,false,0
2196,filler_cash_T2,E3,NON_CUSTOMER_SETTLED_SALE,T2,1:0:1,C2CF196,,C2CF196,false,0
2197,filler_cash_T2,E3,NON_CUSTOMER_SETTLED_SALE,T2,1:0:1,C2CF197,,C2CF197,false,0
2198,filler_cash_T2,E3,NON_CUSTOMER_SETTLED_SALE,T2,1:0:1,C2CF198,,C2CF198,false,0
2199,filler_cash_T2,E3,NON_CUSTOMER_SETTLED_SALE,T2,1:0:1,C2CF199,,C2CF199,false,0
2200,filler_cash_T2,E3,NON_CUSTOMER_SETTLED_SALE,T2,1:0:1,C2CF200,,C2CF200,false,0
2201,filler_cash_T2,E3,NON_CUSTOMER_SETTLED_SALE,T2,1:0:1,C2CF201,,C2CF201,false,0
2202,filler_cash_T2,E3,NON_CUSTOMER_SETTLED_SALE,T2,1:0:1,C2CF202,,C2CF202,false,0
2203,filler_cash_T2,E3,NON_CUSTOMER_SETTLED_SALE,T2,1:0:1,C2CF203,,C2CF203,false,0
2204,filler_cash_T2,E3,NON_CUSTOMER_SETTLED_SALE,T2,1:0:1,C2CF204,,C2CF204,false,0
2205,filler_cash_T2,E3,NON_CUSTOMER_SETTLED_SALE,T2,1:0:1,C2CF205,,C2CF205,false,0
2206,filler_cash_T2,E3,NON_CUSTOMER_SETTLED_SALE,T2,1:0:1,C2CF206,,C2CF206,false,0
2207,filler_cash_T2,E3,NON_CUSTOMER_SETTLED_SALE,T2,1:0:1,C2CF207,,C2CF207,false,0
2208,filler_cash_T2,E3,NON_CUSTOMER_SETTLED_SALE,T2,1:0:1,C2CF208,,C2CF208,false,0
2209,filler_cash_T2,E3,NON_CUSTOMER_SETTLED_SALE,T2,1:0:1,C2CF209,,C2CF209,false,0
2210,filler_cash_T2,E3,NON_CUSTOMER_SETTLED_SALE,T2,1:0:1,C2CF210,,C2CF210,false,0
2211,filler_cash_T2,E3,NON_CUSTOMER_SETTLED_SALE,T2,1:0:1,C2CF211,,C2CF211,false,0
2212,filler_cash_T2,E3,NON_CUSTOMER_SETTLED_SALE,T2,1:0:1,C2CF212,,C2CF212,false,0
2213,filler_cash_T2,E3,NON_CUSTOMER_SETTLED_SALE,T2,1:0:1,C2CF213,,C2CF213,false,0
2214,filler_cash_T2,E3,NON_CUSTOMER_SETTLED_SALE,T2,1:0:1,C2CF214,,C2CF214,false,0
2215,filler_cash_T2,E3,NON_CUSTOMER_SETTLED_SALE,T2,1:0:1,C2CF215,,C2CF215,false,0
